"name","pvalue","group"
"ITRc_71227 - DDE_Tnp_ISL3",1.47958029563178e-06,"1"
"ITRc_127914 - Transposase_20",2.38805808131328e-06,"2"
"ITRc_366829 - Y1_Tnp",2.38805808131328e-06,"2"
"ITRc_95827 - PDDEXK_2",2.38805808131328e-06,"2"
"ITRc_99987 - DUF772",2.38805808131328e-06,"2"
"ITRc_247414 - HTH_Tnp_1",5.30695736172114e-06,"2"
"ITRc_1075511 - DDE_Tnp_ISL3",5.75025195281809e-06,"2"
"ITRc_111613 - Y1_Tnp",5.75025195281809e-06,"2"
"ITRc_117148 - Y1_Tnp",5.75025195281809e-06,"2"
"ITRc_169225 - DDE_Tnp_IS240",5.75025195281809e-06,"2"
"ITRc_1903514 - DDE_Tnp_IS66",5.75025195281809e-06,"2"
"ITRc_2371679 - Transposase_mut",5.75025195281809e-06,"2"
"ITRc_58959 - Transposase_20",5.75025195281809e-06,"2"
"ITRc_74593 - PDDEXK_2",5.75025195281809e-06,"2"
"ITRc_795572 - DEDD_Tnp_IS110",5.75025195281809e-06,"2"
"ITRc_113501 - DDE_Tnp_ISL3",6.37053848404743e-06,"1"
"ITRc_294109 - Transposase_mut",6.37053848404743e-06,"1"
"ITRc_71227 - zf-ISL3",9.15379851983528e-06,"1"
"ITRc_1031986 - PDDEXK_2",1.38146176950135e-05,"2"
"ITRc_784874 - DEDD_Tnp_IS110",1.38146176950135e-05,"2"
"ITRc_97629 - Y1_Tnp",1.38146176950135e-05,"2"
"ITRc_160546 - DDE_Tnp_IS1595",1.88435684703048e-05,"1"
"ITRc_181998 - DDE_Tnp_1",1.88435684703048e-05,"1"
"ITRc_34097 - DDE_Tnp_ISL3",1.88435684703048e-05,"1"
"ITRc_42766 - DDE_Tnp_ISL3",1.88435684703048e-05,"1"
"ITRc_394369 - Transposase_mut",2.69962385225756e-05,"1"
"ITRc_68314 - DDE_Tnp_ISL3",2.69962385225756e-05,"1"
"ITRc_1063646 - PDDEXK_2",3.31134722091773e-05,"2"
"ITRc_113495 - Y2_Tnp",3.31134722091773e-05,"2"
"ITRc_127721 - Y1_Tnp",3.31134722091773e-05,"2"
"ITRc_1374643 - DDE_Tnp_1_6",3.31134722091773e-05,"2"
"ITRc_185273 - DUF772",3.31134722091773e-05,"2"
"ITRc_374730 - DDE_Tnp_1",3.31134722091773e-05,"2"
"ITRc_42556 - DUF772",3.31134722091773e-05,"2"
"ITRc_47621 - Y1_Tnp",3.31134722091773e-05,"2"
"ITRc_59761 - Y1_Tnp",3.31134722091773e-05,"2"
"ITRc_693039 - Transposase_mut",3.31134722091773e-05,"2"
"ITRc_208710 - DDE_Tnp_ISL3",5.09566866486532e-05,"1"
"ITRc_67161 - Y1_Tnp",5.52472402275204e-05,"1"
"ITRc_104649 - zf-ISL3",6.77356011099422e-05,"1"
"ITRc_1343565 - DDE_Tnp_ISL3",7.9193266371953e-05,"2"
"ITRc_158493 - Transposase_mut",7.9193266371953e-05,"2"
"ITRc_166147 - PDDEXK_2",7.9193266371953e-05,"2"
"ITRc_201611 - PDDEXK_2",7.9193266371953e-05,"2"
"ITRc_299303 - DDE_Tnp_1",7.9193266371953e-05,"2"
"ITRc_308578 - DDE_Tnp_ISL3",7.9193266371953e-05,"2"
"ITRc_374707 - OrfB_Zn_ribbon",7.9193266371953e-05,"2"
"ITRc_42654 - PDDEXK_2",7.9193266371953e-05,"2"
"ITRc_59409 - Transposase_20",7.9193266371953e-05,"2"
"ITRc_59761 - PDDEXK_2",7.9193266371953e-05,"2"
"ITRc_74700 - PDDEXK_2",7.9193266371953e-05,"2"
"ITRc_68196 - PDDEXK_2",8.10545450176924e-05,"2"
"ITRc_245186 - DDE_Tnp_ISL3",0.000112624336076068,"1"
"ITRc_64582 - PDDEXK_2",0.000160570300322024,"1"
"ITRc_111645 - DUF772",0.000172385185900291,"2"
"ITRc_167169 - Transposase_mut",0.000188970181133279,"2"
"ITRc_201443 - HTH_Tnp_1",0.000188970181133279,"2"
"ITRc_228899 - PDDEXK_2",0.000188970181133279,"2"
"ITRc_229825 - DUF4096",0.000188970181133279,"2"
"ITRc_302454 - DDE_Tnp_1_6",0.000188970181133279,"2"
"ITRc_311351 - PDDEXK_2",0.000188970181133279,"2"
"ITRc_368462 - DDE_Tnp_IS66",0.000188970181133279,"2"
"ITRc_42456 - DUF772",0.000188970181133279,"2"
"ITRc_42500 - Transposase_20",0.000188970181133279,"2"
"ITRc_443206 - Y1_Tnp",0.000188970181133279,"2"
"ITRc_47621 - PDDEXK_2",0.000188970181133279,"2"
"ITRc_58911 - OrfB_Zn_ribbon",0.000188970181133279,"2"
"ITRc_673537 - DDE_Tnp_1_assoc",0.000188970181133279,"2"
"ITRc_98158 - PDDEXK_2",0.000188970181133279,"2"
"ITRc_98423 - HTH_Tnp_1",0.000188970181133279,"2"
"ITRc_206414 - DDE_Tnp_ISL3",0.000193407342369585,"2"
"ITRc_204882 - DDE_Tnp_ISL3",0.000212594598937692,"1"
"ITRc_75920 - DDE_Tnp_IS240",0.000212594598937692,"1"
"ITRc_115235 - DDE_Tnp_1",0.000228708281240825,"1"
"ITRc_58911 - Y1_Tnp",0.000408475967547832,"2"
"ITRc_108728 - DDE_Tnp_ISL3",0.000431669575148331,"1"
"ITRc_103610 - DDE_Tnp_IS66",0.000449907859525606,"2"
"ITRc_111484 - Transposase_20",0.000449907859525606,"2"
"ITRc_113573 - Y1_Tnp",0.000449907859525606,"2"
"ITRc_1261206 - Transposase_mut",0.000449907859525606,"2"
"ITRc_132273 - DUF772",0.000449907859525606,"2"
"ITRc_136827 - Y1_Tnp",0.000449907859525606,"2"
"ITRc_167968 - PDDEXK_2",0.000449907859525606,"2"
"ITRc_171284 - Y1_Tnp",0.000449907859525606,"2"
"ITRc_172993 - PDDEXK_2",0.000449907859525606,"2"
"ITRc_2067436 - DDE_Tnp_1_6",0.000449907859525606,"2"
"ITRc_228281 - PDDEXK_2",0.000449907859525606,"2"
"ITRc_229073 - PDDEXK_2",0.000449907859525606,"2"
"ITRc_46846 - Y1_Tnp",0.000449907859525606,"2"
"ITRc_59106 - Y1_Tnp",0.000449907859525606,"2"
"ITRc_97234 - Transposase_mut",0.000449907859525606,"2"
"ITRc_72296 - DDE_Tnp_ISL3",0.000657129370832861,"1"
"ITRc_127069 - PDDEXK_2",0.00106876673056203,"2"
"ITRc_129238 - Y1_Tnp",0.00106876673056203,"2"
"ITRc_135723 - Y1_Tnp",0.00106876673056203,"2"
"ITRc_166646 - DUF4096",0.00106876673056203,"2"
"ITRc_185314 - DDE_Tnp_ISL3",0.00106876673056203,"2"
"ITRc_200912 - PDDEXK_2",0.00106876673056203,"2"
"ITRc_229257 - Y1_Tnp",0.00106876673056203,"2"
"ITRc_306757 - Transposase_20",0.00106876673056203,"2"
"ITRc_475036 - Transposase_20",0.00106876673056203,"2"
